mm/dd/yy,city3,city4
02/01/20,28.5778736,58.42009978
02/02/20,30.60784526,63.7963792
02/03/20,35.83051243,89.9458721
02/04/20,35.53802052,87.20740531
02/05/20,11.22330632,74.58196812
02/06/20,15.6217496,77.34654767
02/07/20,30.15035267,100.5532979
02/08/20,30.13785951,63.16857222
02/09/20,30.15047686,85.94194762
02/10/20,63.52731491,70.95614695
02/11/20,30.70890511,70.64637594
02/12/20,36.3556564,96.97553704
02/13/20,34.54001763,91.50832698
02/14/20,31.51391251,91.27019272
02/15/20,21.84730755,101.1095761
02/16/20,32.5896922,75.42007683
02/17/20,17.27174785,88.63905943
02/18/20,22.63181393,68.79466487
02/19/20,20.14636452,81.48332705
02/20/20,25.81874139,72.39713891
02/21/20,48.14658567,76.9399193
02/22/20,6.327348074,86.90314051
02/23/20,31.8626019,58.63558634
02/24/20,8.872841288,116.8477455
02/25/20,20.28068134,54.87965237
02/26/20,35.88950597,50.71622774
02/27/20,25.64280019,98.16221747
02/28/20,14.22255222,90.83325388
02/29/20,17.84696291,87.48239634
03/01/20,31.79597749,87.56691019
03/02/20,17.69633368,74.75506454
03/03/20,27.1645859,57.05491257
03/04/20,25.4557184,76.51609116
03/05/20,18.48399652,61.45676577
03/06/20,46.43944089,94.50239467
03/07/20,31.33919022,72.05885237
03/08/20,4.748574133,58.49005606
03/09/20,26.86454315,68.57228317
03/10/20,18.38213535,83.25862909
03/11/20,33.52433335,63.72550894
03/12/20,17.07479262,58.55559209
03/13/20,23.85263559,79.87374423
03/14/20,30.04987279,79.89933142
03/15/20,33.65755194,64.86113649
03/16/20,12.99703593,65.57923389
03/17/20,21.65498764,79.64099875
03/18/20,20.25054689,46.03831317
03/19/20,18.46670767,46.85072451
03/20/20,42.6545424,60.63111557
03/21/20,29.04981711,70.73105697
03/22/20,12.39116046,81.21815131
03/23/20,34.17861947,104.5071243
03/24/20,46.22156197,92.15319246
03/25/20,35.32465261,71.8012294
03/26/20,9.80630034,74.61967584
03/27/20,20.15765927,54.94941271
03/28/20,37.66911149,74.62973728
03/29/20,17.92330534,69.22682722
03/30/20,29.43819428,81.45437121
03/31/20,32.74634053,58.45538113
04/01/20,15.73069528,85.38693028
04/02/20,24.40474644,105.6547783
04/03/20,7.412673401,72.82479703
04/04/20,14.75612359,83.03423444
04/05/20,22.47431849,88.80287983
04/06/20,12.52216818,66.97559056
04/07/20,41.32411304,79.48184964
04/08/20,10.69858622,75.25184802
04/09/20,20.59955513,76.95352197
04/10/20,26.30740577,59.53980432
04/11/20,39.41273289,75.49020349
04/12/20,10.64137849,84.95996582
04/13/20,36.63163752,104.0228722
04/14/20,25.10233061,94.18541652
04/15/20,15.18491349,118.0636492
04/16/20,29.62103474,59.65304874
04/17/20,26.99059696,92.44641273
04/18/20,18.99783123,78.66684011
04/19/20,25.69802085,118.7960587
04/20/20,21.14686403,58.83403429
04/21/20,26.13517345,58.20556316
04/22/20,31.62130675,63.01214709
04/23/20,40.86016816,32.52208551
04/24/20,12.62184501,64.48489957
04/25/20,46.33033375,59.81734677
04/26/20,5.479122005,78.00787573
04/27/20,23.48214905,81.83511952
04/28/20,30.88317206,112.5234168
04/29/20,27.80991868,94.00847676
04/30/20,18.7730048,63.46192689
05/01/20,22.9187775,57.03170657
05/02/20,20.06999065,84.83838343
05/03/20,19.10635243,48.59533586
05/04/20,33.49602097,111.6291753
05/05/20,28.57015486,98.58880241
05/06/20,18.07090405,65.61648696
05/07/20,33.99599875,40.73730942
05/08/20,28.07299521,102.0774475
05/09/20,33.12862119,72.70920309
05/10/20,31.29628842,99.75632624
